0 - moving, 1 - collided, 2 - enemyDestroyed, 3 -asteroidDestroyed
playerPosx, events, playerScore
0, 4.00, 0.00
0, 4.00, 0.00
-29.75806, 4.00, 0.00
-44.6371, 4.00, 0.00
-59.51613, 4.00, 0.00
-74.39516, 4.00, 0.00
-89.27419, 4.00, 0.00
-104.1532, 4.00, 0.00
-119.0322, 4.00, 0.00
-133.9113, 4.00, 0.00
-14.87903, 4.00, 0.00
-14.87903, 4.00, 0.00
-14.87903, 4.00, 0.00
-14.87903, 4.00, 0.00
-14.87903, 4.00, 0.00
-14.87903, 4.00, 0.00
-14.87903, 4.00, 0.00
-14.87903, 4.00, 0.00
-14.87903, 4.00, 0.00
-14.87903, 4.00, 0.00
-14.87903, 4.00, 0.00
-14.87903, 4.00, 0.00
-14.87903, 4.00, 0.00
-14.87903, 4.00, 0.00
-14.87903, 4.00, 0.00
-14.87903, 4.00, 0.00
-14.88123, 4.00, 0.00
-14.88323, 4.00, 0.00
-14.88505, 4.00, 0.00
-14.8867, 4.00, 0.00
-14.8882, 4.00, 0.00
-14.88077, 4.00, 0.00
-14.86961, 4.00, 0.00
-14.87047, 4.00, 0.00
-14.87125, 4.00, 0.00
-14.88075, 4.00, 0.00
-14.8718, 4.00, 0.00
-14.86366, 4.00, 0.00
-14.83867, 4.00, 0.00
-14.79835, 4.00, 0.00
-14.49117, 4.00, 0.00
-14.12173, 4.00, 0.00
-13.70671, 4.00, 0.00
-13.20844, 4.00, 0.00
-12.72469, 4.00, 0.00
-12.27611, 4.00, 0.00
-11.82652, 4.00, 0.00
-11.4178, 4.00, 0.00
-11.02425, 4.00, 0.00
-10.64228, 4.00, 0.00
-10.29504, 4.00, 0.00
-9.900179, 4.00, 0.00
-9.413653, 4.00, 0.00
-8.637046, 4.00, 0.00
-7.81667, 4.00, 0.00
-7.070875, 4.00, 0.00
-6.337893, 4.00, 0.00
-5.629756, 4.00, 0.00
-4.977198, 4.00, 0.00
-4.383963, 4.00, 0.00
-3.833663, 4.00, 0.00
-3.33339, 4.00, 0.00
-2.869797, 4.00, 0.00
-2.316386, 4.00, 0.00
-1.676919, 4.00, 0.00
-1.095585, 4.00, 0.00
-0.4681288, 4.00, 0.00
-0.02527814, 4.00, 0.00
0.2541455, 4.00, 0.00
0.508167, 4.00, 0.00
0.6093314, 4.00, 0.00
0.5715324, 4.00, 0.00
0.4206009, 4.00, 0.00
0.2372028, 4.00, 0.00
0.1188646, 4.00, 0.00
-0.0898894, 4.00, 0.00
-0.3676417, 4.00, 0.00
-0.6201438, 4.00, 0.00
-0.9464657, 4.00, 0.00
-1.256317, 4.00, 0.00
-1.568793, 4.00, 0.00
-1.888051, 4.00, 0.00
-2.189284, 4.00, 0.00
-2.471931, 4.00, 0.00
-2.735479, 4.00, 0.00
-3.019056, 4.00, 0.00
-3.305447, 4.00, 0.00
-3.5746, 4.00, 0.00
-3.828084, 4.00, 0.00
-4.069519, 4.00, 0.00
-4.302202, 4.00, 0.00
-4.513732, 4.00, 0.00
-4.706032, 4.00, 0.00
-4.92044, 4.00, 0.00
-5.17474, 4.00, 0.00
-5.443313, 4.00, 0.00
-5.68307, 4.00, 0.00
-5.901032, 4.00, 0.00
-6.081583, 4.00, 0.00
-6.236924, 4.00, 0.00
-6.371544, 4.00, 0.00
-6.480729, 4.00, 0.00
-6.582188, 4.00, 0.00
-6.674423, 4.00, 0.00
-6.753874, 4.00, 0.00
-6.639153, 4.00, 0.00
-6.499669, 4.00, 0.00
-6.344275, 4.00, 0.00
-6.181014, 4.00, 0.00
-6.04799, 4.00, 0.00
-5.927059, 4.00, 0.00
-5.810523, 4.00, 0.00
-5.70458, 4.00, 0.00
-5.597274, 4.00, 0.00
-5.490924, 4.00, 0.00
-5.394242, 4.00, 0.00
-5.295351, 4.00, 0.00
-5.190054, 4.00, 0.00
-5.074536, 4.00, 0.00
-4.943127, 4.00, 0.00
-4.715893, 4.00, 0.00
-4.436737, 4.00, 0.00
-4.176359, 4.00, 0.00
-3.939652, 4.00, 0.00
-3.724464, 4.00, 0.00
-3.524439, 4.00, 0.00
-3.333802, 4.00, 0.00
-3.145098, 4.00, 0.00
-2.964753, 4.00, 0.00
-2.800803, 4.00, 0.00
-2.669352, 4.00, 0.00
-2.549852, 4.00, 0.00
-2.441215, 4.00, 0.00
-2.335855, 4.00, 0.00
-2.240073, 4.00, 0.00
-2.152999, 4.00, 0.00
-2.07384, 4.00, 0.00
-1.997479, 4.00, 0.00
-1.925859, 4.00, 0.00
-1.860751, 4.00, 0.00
-1.799364, 4.00, 0.00
-1.743558, 4.00, 0.00
-1.692826, 4.00, 0.00
-1.644505, 4.00, 0.00
-1.598378, 4.00, 0.00
-1.497059, 4.00, 0.00
-1.37636, 4.00, 0.00
-1.257835, 4.00, 0.00
-1.128092, 4.00, 0.00
-0.9991444, 4.00, 0.00
-0.8709241, 4.00, 0.00
-0.7411621, 4.00, 0.00
-0.627596, 4.00, 0.00
-0.5243542, 4.00, 0.00
-0.4304979, 4.00, 0.00
-0.3451741, 4.00, 0.00
-0.2676069, 4.00, 0.00
-0.1970914, 4.00, 0.00
-0.1263873, 4.00, 0.00
-0.04891554, 4.00, 0.00
0.02591254, 4.00, 0.00
0.09393807, 4.00, 0.00
0.1579792, 4.00, 0.00
0.2183981, 4.00, 0.00
0.2799207, 4.00, 0.00
0.3402497, 4.00, 0.00
0.4060924, 4.00, 0.00
0.4681491, 4.00, 0.00
0.526764, 4.00, 0.00
0.5910461, 4.00, 0.00
0.6670789, 4.00, 0.00
0.7471977, 4.00, 0.00
0.8420272, 4.00, 0.00
0.9282359, 4.00, 0.00
1.017603, 4.00, 0.00
1.153832, 4.00, 0.00
1.288675, 4.00, 0.00
1.435453, 4.00, 0.00
1.568888, 4.00, 0.00
1.692389, 4.00, 0.00
1.809062, 4.00, 0.00
1.919528, 4.00, 0.00
2.022151, 4.00, 0.00
2.181427, 4.00, 0.00
2.33942, 4.00, 0.00
2.494047, 4.00, 0.00
2.667609, 4.00, 0.00
2.849586, 4.00, 0.00
3.01502, 4.00, 0.00
3.165415, 4.00, 0.00
