0 - moving, 1 - collided, 2 - enemyDestroyed, 3 -asteroidDestroyed
playerPosx, events, playerScore
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
-3.3, 4.00, 0.00
